user_id,smoother,amplitude,duration_min,peak_incoh_ratio,step_max,confidence
U002,aaps_average,65.0,70.0,0.8356164383561644,15.0,medium
U002,aaps_average,97.0,185.0,0.9423076923076923,37.0,medium
U002,aaps_average,25.0,50.0,0.9607843137254902,25.0,high
U002,aaps_average,75.0,55.0,0.92,24.0,high
U002,aaps_average,19.0,25.0,0.7741935483870968,7.0,low
U002,aaps_average,37.0,95.0,0.9736842105263158,20.0,high
U002,aaps_average,27.0,30.0,0.8157894736842105,18.0,high
U002,aaps_average,34.0,65.0,0.9487179487179487,14.0,low
U002,aaps_average,25.0,30.0,0.9090909090909091,20.0,low
U002,aaps_average,37.0,35.0,0.7358490566037735,17.0,low
U002,aaps_average,33.0,50.0,0.9411764705882353,15.0,low
U002,aaps_average,56.0,120.0,1.0,17.0,medium
U002,aaps_average,37.0,45.0,1.0,13.0,low
U002,aaps_average,52.0,60.0,0.9,12.0,medium
U002,aaps_average,73.0,65.0,1.0,36.0,medium
U002,aaps_average,34.0,50.0,0.8157894736842105,17.0,low
U002,aaps_average,33.0,45.0,0.8604651162790697,25.0,high
U002,aaps_average,64.0,50.0,1.0,30.0,medium
U002,aaps_average,26.0,55.0,0.972972972972973,21.0,high
U002,aaps_average,31.0,40.0,0.9444444444444444,16.0,low
U002,aaps_average,21.0,45.0,0.9142857142857143,19.0,low
U002,aaps_average,31.0,75.0,0.9807692307692307,17.0,medium
U002,aaps_average,46.0,70.0,1.0,23.0,medium
U002,aaps_average,27.0,30.0,0.9024390243902439,10.0,low
U002,aaps_average,35.0,30.0,0.8870967741935484,15.0,medium
U002,aaps_average,19.0,45.0,0.9545454545454546,10.0,medium
U002,aaps_average,31.0,35.0,0.9824561403508771,23.0,medium
U002,aaps_average,26.0,30.0,0.9393939393939394,10.0,low
U002,aaps_average,30.0,25.0,0.6666666666666666,15.0,low
U002,aaps_average,47.0,45.0,0.8253968253968254,25.0,medium
U002,aaps_average,49.0,50.0,0.9081632653061225,17.0,medium
U002,aaps_average,29.0,30.0,0.90625,29.0,medium
U002,aaps_average,47.0,50.0,0.9090909090909091,22.0,low
U002,aaps_average,62.0,30.0,0.8333333333333334,29.0,low
U002,aaps_average,29.0,40.0,0.9767441860465116,13.0,low
U002,aaps_average,48.0,90.0,0.9259259259259259,29.0,low
U002,aaps_average,37.0,45.0,0.9777777777777777,13.0,low
U002,aaps_average,72.0,50.0,0.9807692307692307,26.0,low
U002,aaps_average,28.0,25.0,0.8947368421052632,16.0,low
U002,aaps_average,59.0,75.0,0.9753086419753086,25.0,medium
U002,aaps_average,47.0,55.0,1.0,17.0,high
U002,aaps_exponential,35.0,30.0,0.9833333333333333,15.0,low
U002,aaps_exponential,36.0,25.0,0.44680851063829785,33.0,low
U002,aaps_exponential,22.0,35.0,0.9666666666666667,13.0,low
U002,aaps_exponential,22.0,40.0,1.0,11.0,medium
U002,aaps_exponential,18.0,40.0,1.0,12.0,low
U002,aaps_exponential,24.0,25.0,0.7954545454545454,12.0,low
U002,aaps_exponential,25.0,50.0,0.8148148148148148,10.0,low
U002,aaps_exponential,24.0,45.0,0.9411764705882353,10.0,low
U002,aaps_exponential,29.0,35.0,0.9433962264150944,23.0,low
U002,aaps_exponential,19.0,40.0,0.7837837837837838,11.0,low
U002,aaps_exponential,32.0,50.0,0.896551724137931,11.0,low
U002,aaps_exponential,28.0,35.0,1.0,12.0,medium
U002,aaps_exponential,76.0,75.0,0.9482758620689655,26.0,low
U002,aaps_exponential,25.0,25.0,0.6,12.0,low
U002,aaps_exponential,17.0,25.0,0.9375,6.0,medium
U002,aaps_exponential,28.0,45.0,1.0,10.0,low
U002,aaps_exponential,38.0,40.0,1.0,19.0,low
U002,aaps_exponential,52.0,155.0,1.0,33.0,medium
U002,aaps_exponential,21.0,35.0,0.9523809523809523,17.0,medium
U002,aaps_exponential,44.0,65.0,1.0,14.0,high
U002,aaps_exponential,28.0,45.0,0.9821428571428571,16.0,medium
U002,aaps_exponential,44.0,65.0,0.927536231884058,24.0,medium
U002,aaps_exponential,36.0,45.0,0.8181818181818182,16.0,low
U002,aaps_exponential,23.0,45.0,0.9166666666666666,13.0,low
U002,aaps_exponential,32.0,35.0,1.0,16.0,medium
U002,aaps_exponential,54.0,80.0,1.0,20.0,medium
U002,aaps_exponential,38.0,40.0,0.8163265306122449,23.0,low
U002,aaps_exponential,33.0,50.0,0.9629629629629629,20.0,high
U002,aaps_exponential,52.0,90.0,0.9342105263157895,19.0,medium
U002,aaps_exponential,43.0,75.0,0.9545454545454546,22.0,high
U002,aaps_exponential,23.0,25.0,0.9811320754716981,23.0,low
U002,aaps_exponential,21.0,65.0,1.0,11.0,high
U002,aaps_exponential,25.0,50.0,0.9565217391304348,12.0,medium
U002,aaps_exponential,42.0,105.0,0.9705882352941176,16.0,high
U002,aaps_exponential,56.0,50.0,0.9230769230769231,21.0,low
U002,aaps_exponential,20.0,55.0,0.8148148148148148,10.0,low
U002,aaps_exponential,60.0,240.0,1.0,47.0,high
U002,aaps_exponential,53.0,35.0,0.75,26.0,low
U002,aaps_exponential,41.0,30.0,0.9833333333333333,27.0,low
U002,aaps_exponential,33.0,30.0,0.8448275862068966,33.0,low
U002,aaps_exponential,99.0,100.0,0.9454545454545454,28.0,medium
U002,aaps_exponential,66.0,145.0,0.9767441860465116,19.0,medium
U002,aaps_exponential,30.0,60.0,0.98,24.0,medium
